0.89876,0.75320,0.89605,0.82058,0.84638
0.94100,0.91542,0.93819,0.88476,0.97230
0.22277,0.00431,0.21995,0.03505,0.03220
1.37070,0.53278,1.36877,1.27186,0.93158
0.01164,0.40765,0.00819,-0.12700,0.19221
1.19808,1.02582,1.19547,1.16070,1.16854
0.23581,0.28311,0.23275,0.08476,0.21977
0.60340,1.13195,0.59998,0.56964,0.94961
0.17978,0.81187,0.17615,0.09687,0.53641
0.87139,0.55698,0.86883,0.76710,0.70556
0.23547,0.35030,0.23234,0.09319,0.26329
0.64811,0.17359,0.64564,0.48985,0.34819
0.79667,0.35546,0.79421,0.66475,0.53837
0.50381,0.63798,0.50074,0.40377,0.58025
0.32304,0.23051,0.32013,0.16662,0.22781
0.83459,0.41566,0.83212,0.71119,0.59586
1.11221,1.34567,1.10920,1.11516,1.33491
0.99156,0.57042,0.98914,0.89110,0.77248
0.79111,0.21876,0.78878,0.64123,0.44680
1.22863,1.27742,1.22583,1.22467,1.34691
